J1,PO1,PD1,UTC_2021,UTC_1970,ToD,Google_DepTime,car_freeflow_TravelTime_sec,car_InTraffic_TravelTime_sec,car_distance_m,car_mode,car_status,PT_TravelTime_sec,PT_distance_m,PT_mode,PT_status,Walk_TravelTime_sec,Walk_distance_m,Walk_mode,Walk_status,Bicycle_TravelTime_sec,Bicycle_Distance_m,Bicycle_mode,Bicycle_status,gh_car_sec,gh_pt_sec,gh_foot_sec,gh_bike_sec
7290,HS12AF,HS12LG,3/23/21 16:00,1/1/70 0:00,4:00:00 PM,1616515200,204,214,1258,driving,OK,978,1258,transit,OK,981,1258,walking,OK,311,1339,bicycling,OK,123,465,916,260
7291,G776EY,G776TD,3/23/21 11:40,1/1/70 0:00,11:40:00 AM,1616499600,374,369,1934,driving,OK,1105,1525,transit,OK,1105,1525,walking,OK,363,1528,bicycling,OK,165,633,1028,398
7292,KY49NB,KY120PW,3/23/21 14:30,1/1/70 0:00,2:30:00 PM,1616509800,757,769,8697,driving,OK,2758,14012,transit,OK,6353,8657,walking,OK,1739,9111,bicycling,OK,633,2059,7124,1745
7293,PA29PN,PA28ED,3/23/21 17:00,1/1/70 0:00,5:00:00 PM,1616518800,307,321,2810,driving,OK,1134,3895,transit,OK,2087,2664,walking,OK,733,2666,bicycling,OK,204,1157,1937,539
7294,FK20DW,EH546HS,3/23/21 10:15,1/1/70 0:00,10:15:00 AM,1616494500,1843,1833,30498,driving,OK,6526,40075,transit,OK,16500,21866,walking,OK,6748,34303,bicycling,OK,1310,8646,17228,5224
7295,KW151NU,KW151DA,3/23/21 18:30,1/1/70 0:00,6:30:00 PM,1616524200,189,194,1487,driving,OK,886,4201,transit,OK,1149,1362,walking,OK,485,1487,bicycling,OK,160,1282,1282,458
7297,PH118NG,DD82EL,3/23/21 13:30,1/1/70 0:00,1:30:00 PM,1616506200,1520,1574,26159,driving,OK,7062,51767,transit,OK,18022,24692,walking,OK,4771,25483,bicycling,OK,1208,3119,19137,5143
7298,FK70JJ,FK29EG,3/23/21 13:00,1/1/70 0:00,1:00:00 PM,1616504400,1045,1062,18653,driving,OK,2476,19066,transit,OK,12064,16555,walking,OK,3220,17476,bicycling,OK,849,4325,12574,3561
7300,FK54TP,FK14JB,3/23/21 9:45,1/1/70 0:00,9:45:00 AM,1616492700,441,449,4091,driving,OK,1787,4174,transit,OK,2888,3880,walking,OK,884,3965,bicycling,OK,324,2744,2888,868
7301,FK38XJ,FK82PB,3/23/21 11:30,1/1/70 0:00,11:30:00 AM,1616499000,1333,1401,22569,driving,OK,4811,22317,transit,OK,13929,18840,walking,OK,3815,19192,bicycling,OK,953,3047,14638,4341
7302,DG64XL,DG64DZ,3/23/21 12:00,1/1/70 0:00,12:00:00 PM,1616500800,416,420,4467,driving,OK,3235,4461,transit,OK,3235,4461,walking,OK,816,4467,bicycling,OK,359,3085,3497,917
7303,ML68SR,ML74LT,3/23/21 11:50,1/1/70 0:00,11:50:00 AM,1616500200,417,416,6621,driving,OK,1217,9770,transit,OK,5138,6621,walking,OK,1815,6709,bicycling,OK,321,1051,4633,1431
7304,G611RE,G611RE,3/23/21 20:35,1/1/70 0:00,8:35:00 PM,1616531700,0,0,0,driving,OK,0,0,transit,OK,0,0,walking,OK,0,0,bicycling,OK,0,0,0,0
11181,G611RE,G611RE,4/22/21 18:40,1/1/70 0:00,6:40:00 PM,1619120400,0,0,0,driving,OK,0,0,transit,OK,0,0,walking,OK,0,0,bicycling,OK,0,0,0,0
