PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
G662HA,G661PR,509.8,62.7,2.3,13.5
G731UG,EH479BD,39844.4,1968.3,443.8,233.9
EH483RS,EH479BD,9502.8,658.8,120.7,85.6
EH549BU,EH479BD,17061.3,1013.7,157.9,93.5
ZE10TB,ZE10NS,1131.8,116.0,4.3,28.0
ZE10TB,ZE10NS,1131.8,116.0,4.3,28.0
ZE10PJ,ZE10NS,897.7,82.2,13.1,19.9
ZE29LJ,ZE10NS,13212.1,882.9,285.8,361.0
ZE10TB,ZE29LG,16007.1,1063.2,347.9,344.8
ZE10HJ,ZE29LG,15121.5,977.1,343.6,322.2
ZE10TB,ZE29HW,20819.0,1355.4,349.3,355.1
ZE29HH,ZE29HW,1623.4,205.4,11.3,14.8
ZE10TB,ZE10JN,1018.7,102.3,4.4,14.4
ZE10UQ,ZE10JN,10444.1,707.8,213.0,251.1
ZE10TB,ZE29JR,32465.0,2007.1,518.4,532.0
ZE10TB,ZE29SF,11812.0,808.1,205.0,220.0
ZE29SE,ZE29SF,2052.6,161.5,10.5,7.6
ZE10TB,ZE29JH,31480.5,1900.9,546.9,525.5
ZE10TB,ZE29SD,9234.5,646.6,194.5,210.0
ZE10TB,ZE10HH,2970.3,258.9,49.1,35.9
KA181LG,KA181PG,1257.3,170.4,10.0,5.8
KA181LG,KA181PG,1257.3,170.4,10.0,5.8
KA181EE,KA181PG,709.1,79.2,11.0,0.1
IV180AZ,IV180BF,615.1,60.0,0.5,2.1
IV180AZ,IV180BF,615.1,60.0,0.5,2.1
IV180AZ,IV180BF,615.1,60.0,0.5,2.1
IV11JN,IV180BF,39078.6,1889.6,291.7,299.1
IV180AZ,IV180BY,613.5,74.4,11.2,0
IV170UF,IV180BY,7175.5,409.2,28.8,32.6
G665BN,G665BN,0,0,0,0
G665BN,G665BN,0,0,0,0
EH129SB,FK83EF,66924.2,2761.6,348.3,315.3
EH129SB,FK83EF,66924.2,2761.6,348.3,315.3
EH129SB,FK83EF,66924.2,2761.6,348.3,315.3
EH129SB,EH127LE,4338.0,483.6,17.4,19.0
EH66JH,EH329GD,17302.0,1495.4,92.1,71.4
FK70EY,FK70EY,0,0,0,0
FK70EY,FK70EY,0,0,0,0
FK70EY,FK70EY,0,0,0,0
FK70EY,FK70EY,0,0,0,0
G821PQ,G825JD,2440.4,311.1,32.9,2.1
G839NP,G825JD,7062.6,660.3,52.4,122.8
G511DA,G37TH,2428.7,303.9,24.9,7.7
G38TB,G37TH,208.9,35.3,2.6,0
G511DA,ML68HN,25232.4,1357.6,231.8,98.3
G511DA,G149XE,6529.3,578.0,25.6,20.3
G514AW,G149XE,3983.7,418.6,8.6,6.3
G514AW,G149XE,3983.7,418.6,8.6,6.3
G514AW,G149XE,3983.7,418.6,8.6,6.3
G514AW,G149XE,3983.7,418.6,8.6,6.3
G514AW,G149XE,3983.7,418.6,8.6,6.3
G511DA,G38LY,2120.6,259.3,20.8,7.7
G781LS,G781HH,993.8,136.1,8.3,10.0
G781LS,G781LE,543.8,57.9,16.5,0.4
G781LS,G783QY,3495.3,356.2,95.8,4.9
G781LS,G783QJ,3483.3,353.3,93.2,6.3
PA12QP,G783QJ,11350.9,1035.1,172.7,40.5
G781LS,G781ES,1334.4,240.1,48.5,10.3
G781LS,G781JL,1787.4,240.2,24.9,10.3
G781LS,G727YB,21113.1,1751.8,107.3,129.2
G727LY,G727YB,2264.7,288.2,26.5,9.9
G727LY,G727YB,2264.7,288.2,26.5,9.9
IV308UD,AB387AT,19918.7,1617.6,193.1,188.9
AB387AE,AB387AT,2193.2,189.5,15.7,3.5
AB387AE,AB387AT,2193.2,189.5,15.7,3.5
ML52LU,ML52HT,1495.2,165.5,7.6,11.3
FK42HS,ML52HT,19287.8,1040.5,137.8,110.4
IV24HT,IV24JB,426.5,84.0,0.9,0.7
FK117DL,FK82EA,9749.1,657.6,29.4,23.3
FK81PU,FK82EA,2144.0,247.6,13.7,0.7
FK101LL,FK82EA,13046.2,893.0,43.7,36.3
FK82EA,FK82EA,0,0,0,0
FK82EA,FK82EA,0,0,0,0
FK38BL,FK82EA,23231.1,1198.4,106.5,92.5
FK117HP,FK82EA,10458.1,641.9,43.6,36.4
