"Address",Latitude,Longitude
"IV12 4",57.5842,-3.87396
"IV12 5",57.5657,-3.85725
"IV13 7",57.3454,-4.02658
"IV14 9",57.5854,-4.54776
"IV15 9",57.5987,-4.43146
"IV16 9",57.6602,-4.34368
"IV17 0",57.6986,-4.25559
"IV18 0",57.7009,-4.15615
"IV19 1",57.8045,-4.06053
"IV2 3",57.4744,-4.20906
"IV2 4",57.4612,-4.22439
"IV2 5",57.4763,-4.13953
"IV2 6",57.4068,-4.25699
"IV2 7",57.508,-4.11896
"IV20 1",57.7899,-3.90979
"IV21 2",57.7249,-5.7186
"IV22 2",57.7367,-5.50389
"IV23 2",57.7739,-5.03457
"IV24 3",57.891,-4.35643
"IV25 3",57.8885,-4.04061
"IV26 2",57.9198,-5.18504
"IV27 4",58.2737,-4.79922
"IV28 3",58.0077,-4.15773
"IV3 5",57.4757,-4.23623
"IV3 8",57.4778,-4.25311
"IV30 1",57.647,-3.31582
"IV30 4",57.657,-3.31291
"IV30 5",57.6933,-3.42021
"IV30 6",57.6394,-3.30377
"IV30 8",57.6331,-3.28807
"IV31 6",57.717,-3.29067
"IV32 7",57.6314,-3.11382
"IV36 1",57.6081,-3.61593
"IV36 2",57.5958,-3.61231
"IV36 3",57.6369,-3.58586
"IV4 7",57.4511,-4.52425
"IV40 8",57.2833,-5.6649
"IV41 8",57.2743,-5.73352
"IV42 8",57.2354,-5.83873
"IV43 8",57.1496,-5.84611
"IV44 8",57.1028,-5.88091
"IV45 8",57.0725,-5.9041
"IV46 8",57.1094,-5.97848
"IV47 8",57.2961,-6.34578
"IV48 8",57.3111,-6.11279
"IV49 9",57.229,-5.94348
"IV5 7",57.4684,-4.41107
"IV51 9",57.4845,-6.24913
"IV52 8",57.3363,-5.65215
"IV53 8",57.3441,-5.5552
"IV54 8",57.429,-5.61008
"IV55 8",57.4569,-6.60995
"IV56 8",57.37,-6.43984
"IV6 7",57.5213,-4.46069
"IV63 6",57.3383,-4.47654
"IV63 7",57.2207,-4.66826
"IV7 8",57.5841,-4.39219
"IV8 8",57.5548,-4.26511
"IV9 8",57.5695,-4.17734
"KA1 1",55.6057,-4.50152
"KA1 2",55.6092,-4.51073
"KA1 3",55.5981,-4.4879
"KA1 4",55.5917,-4.49766
"KA1 5",55.5778,-4.49309
"KA10 6",55.5483,-4.65618
"KA10 7",55.5521,-4.63885
"KA11 1",55.6215,-4.63396
"KA11 2",55.633,-4.63239
"KA11 3",55.615,-4.59561
"KA11 4",55.609,-4.62656
"KA11 5",55.592,-4.63664
"KA12 0",55.6179,-4.66047
"KA12 8",55.6127,-4.67201
"KA12 9",55.628,-4.66354
"KA13 6",55.6534,-4.70994
"KA13 7",55.6581,-4.68642
"KA14 3",55.7405,-4.67141
"KA15 1",55.743,-4.62715
"KA15 2",55.7547,-4.6266
"KA16 9",55.6072,-4.33396
"KA17 0",55.6102,-4.29402
"KA18 1",55.4533,-4.26352
"KA18 2",55.4642,-4.3213
"KA18 3",55.4773,-4.17961
"KA18 4",55.3948,-4.18834
"KA19 7",55.3402,-4.64449
"KA19 8",55.3554,-4.70669
"KA2 0",55.6082,-4.54421
"KA2 9",55.581,-4.58457
"KA20 3",55.6376,-4.75473
"KA20 4",55.6462,-4.74922
"KA21 5",55.6368,-4.78585
"KA21 6",55.648,-4.78301
"KA22 7",55.6533,-4.80493
"KA22 8",55.6447,-4.81025
"KA23 9",55.6891,-4.85307
"KA24 4",55.7062,-4.70531
"KA24 5",55.7131,-4.72739
"KA25 6",55.7474,-4.69069
"KA25 7",55.7572,-4.6874
"KA26 0",55.1737,-4.86518
"KA26 9",55.265,-4.80787
"KA27 8",55.5404,-5.16969
"KA28 0",55.7544,-4.92472
"KA29 0",55.7568,-4.85422
"KA3 1",55.6195,-4.49834
"KA3 2",55.6336,-4.51294
"KA3 3",55.6793,-4.52825
"KA3 4",55.7168,-4.5294
"KA3 5",55.6792,-4.50723
"KA3 6",55.6402,-4.45363
"KA3 7",55.6147,-4.47746
"KA30 8",55.7974,-4.8663
"KA30 9",55.7959,-4.85934
"KA4 8",55.5996,-4.38478
"KA5 5",55.5082,-4.4291
"KA5 6",55.5104,-4.34132
"KA6 5",55.4776,-4.54025
"KA6 6",55.4288,-4.55025
"KA6 7",55.3754,-4.45552
"KA7 1",55.462,-4.63205
"KA7 2",55.453,-4.62937
"KA7 3",55.4495,-4.61176
"KA7 4",55.4356,-4.64511
"KA8 0",55.467,-4.60752
"KA8 8",55.4724,-4.62735
"KA8 9",55.4748,-4.61112
"KA9 1",55.4982,-4.60953
"KA9 2",55.4983,-4.60253
"KW1 4",58.4708,-3.10327
"KW1 5",58.4414,-3.1343
"KW10 6",57.9742,-3.97804
"KW11 6",58.3078,-4.13594
"KW12 6",58.5069,-3.49287
"KW13 6",58.4784,-3.89505
"KW14 7",58.5839,-3.61588
"KW14 8",58.5955,-3.46696
"KW15 1",58.9803,-2.96001
"KW16 3",58.9589,-3.27527
"KW17 2",59.0307,-3.00611
"KW2 6",58.3482,-3.16371
"KW3 6",58.3062,-3.28231
"KW5 6",58.2842,-3.38673
"KW6 6",58.2504,-3.44407
"KW7 6",58.1868,-3.50174
"KW8 6",58.1149,-3.66695
"KW9 6",58.0136,-3.85903
"KY1 1",56.108,-3.16263
"KY1 2",56.1253,-3.14065
"KY1 3",56.1307,-3.14108
"KY1 4",56.157,-3.1073
"KY10 2",56.2145,-2.75056
"KY10 3",56.239,-2.67204
